word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到\nvi. 如愿以偿",,4,1,zk gk cet4 cet6 ky toefl ielts,592,1152,d:achieved/i:achieving/p:achieved/3:achieves,,
acid,'æsid,n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt\nn. street name for lysergic acid diethylamide\ns. having the characteristics of an acid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",,3,1,gk cet4 cet6 ky toefl ielts,1597,3238,s:acids,,
acknowledge,әk'nɒlidʒ,"v. report the receipt of\nv. express obligation, thanks, or gratitude for\nv. accept as legally binding and valid\nv. accept (someone) to be what is claimed or accept his power and authority","vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",,3,1,gk cet4 cet6 ky toefl ielts gre,2105,1654,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging,,
acquire,ә'kwaiә,v. locate (a moving entity) by means of a tracking system such as radar\nv. win something through one's efforts,"vt. 获得, 学到\n[电] 目标锁定",,3,1,gk cet4 cet6 ky toefl ielts,1407,2063,d:acquired/p:acquired/i:acquiring/3:acquires,,
acquisition,.ækwi'ziʃәn,n. the act of contracting or assuming or acquiring possession of something\nn. something acquired,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",,3,,gk cet4 cet6 ky toefl ielts,2567,3856,s:acquisitions,,
acre,'eikә,n. a unit of area (4840 square yards) used in English-speaking countries\nn. a territory of western Brazil bordering on Bolivia and Peru\nn. a town and port in northwestern Israel in the eastern Mediterranean,n. 英亩,,3,,gk cet4 ky toefl,3286,0,s:acres,,
across,ә'krɒs,r. to the opposite side\nr. transversely,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",,5,1,zk gk,448,377,,,
act,ækt,n. a legal document codifying the result of deliberations of a committee or society or legislative body\nn. something that people do or cause to happen\nn. a subdivision of a play or opera or ballet\nn. a short theatrical performance that is part of a longer program,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",,5,1,zk gk cet4 ky,371,837,i:acting/s:acts/p:acted/d:acted/3:acts,,
action,'ækʃәn,n. something done (usually as opposed to something said)\nn. the state of being active\nn. the series of events that form a plot\nn. the trait of being active and energetic and forceful,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",,5,1,zk gk cet4 cet6 ky toefl ielts,340,502,s:actions/i:actioning/p:actioned/3:actions/f:actions,,
active,'æktiv,n. a person who is a participating member of an organization\na. tending to become more severe or wider in scope\ns. engaged in or ready for military or naval operations\na. disposed to take action or effectuate change,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",,4,1,zk gk cet4 ky toefl,1316,1444,s:actives,,
activism,'æktivizm,n. a policy of taking direct and militant action to achieve a political or social goal,"n. 激进主义, 行动主义, 能动论\n[法] 激进主义, 行动主义",,3,,,20387,7096,,,
activity,æk'tiviti,n. any specific behavior\nn. (chemistry) the capacity of a substance to take part in a chemical reaction,"n. 活动, 行动, 活跃, 活力\n[计] 活动",,4,1,zk gk cet4 ky ielts,412,537,s:activities,,
actor,'æktә,n. a theatrical performer\nn. a person who acts and gets things done,"n. 男演员, 行动者\n[医] 作用物, 反应物",,3,1,gk cet4 ky ielts,2390,1497,s:actors,,
actress,'æktris,n. a female actor,n. 女演员,,3,,gk cet4 ky,4829,3236,s:actresses,,
actual,'æktʃuәl,a. presently existing in fact and not merely potential or possible\ns. taking place in reality; not pretended or imitated\ns. being or reflecting the essential or genuine character of something\ns. existing in act or fact,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",,3,1,gk cet4 ky toefl,1396,1739,s:actuals,,
actually,'æktʃuәli,r. in actual fact\nr. used to imply that one would expect the fact to be the opposite of that stated; surprisingly\nr. at the present moment\nr. as a sentence modifier to add slight emphasis,"adv. 事实上, 竟然, 如今, 现在",,5,1,cet4 cet6 toefl,354,396,,,
add,æd,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv. state or say further\nv. make an addition by combining numbers\nv. constitute an addition","vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",,5,1,zk gk cet4 ky,330,340,p:added/d:added/i:adding/3:adds,,
addition,ә'diʃәn,n. a component that is added to something to improve it\nn. the act of adding one thing to another\nn. a quantity that is added\nn. a suburban area laid out in streets and lots for a future residential area,"n. 加法, 增加的人(或物)\n[计] 加法",,4,1,gk cet4 cet6 ky ielts gre,2841,2048,s:additions,,
address,ә'dres,n. (computer science) the code that identifies where a piece of information is stored\nn. the place where a person or organization can be found or communicated with\nn. the act of delivering a formal spoken communication to an audience\nn. the manner of speaking to another individual,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",,4,1,zk gk cet4 cet6 ky toefl ielts gre,1522,1028,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses,,
adequate,'ædikwәt,a. having the requisite qualities or resources to meet a task\ns. sufficient for the purpose\ns. about average; acceptable,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",,3,1,gk cet4 cet6 ky toefl ielts gre,2398,3297,,,
adjust,ә'dʒʌst,v. alter or regulate so as to achieve accuracy or conform to a standard\nv. adapt or conform oneself to new or different conditions\nv. make correspondent or conformable\nv. decide how much is to be paid on an insurance claim,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",,3,1,gk cet4 cet6 ky toefl ielts gre,2811,2300,d:adjusted/i:adjusting/p:adjusted/3:adjusts,,
administration,әd.mini'streiʃәn,n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)\nn. the persons (or committees or departments etc.) who make up a body for the purpose of administering something\nn. the act of administering medication\nn. the act of meting out justice according to the law,"n. 行政, 管理, 政府机关\n[化] 给药",,4,,gk cet4 cet6 ky toefl ielts,1383,635,s:administrations,,
admire,әd'maiә,v. feel admiration for\nv. look at with admiration,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇",,3,1,gk cet4 ky toefl gre,3283,3277,p:admired/d:admired/i:admiring/3:admires,,
admit,әd'mit,"v. declare to be true or admit the existence or reality or truth of\nv. allow to enter; grant entry to\nv. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of\nv. afford possibility","vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",,4,1,gk cet4 ky toefl,887,1089,p:admitted/d:admitted/3:admits/i:admitting,,
adopt,ә'dɒpt,"v. choose and follow; as of theories, ideas, policies, strategies or plans\nv. take up and practice as one's own\nv. take into one's family","vt. 采用, 正式通过, 收养, 接受\n[医] 采取",,4,1,gk cet4 cet6 ky toefl ielts gre,1157,1632,d:adopted/p:adopted/i:adopting/3:adopts,,
adult,'ædʌlt,n. a fully developed person from maturity onward\nn. any mature animal\ns. (of animals) fully developed,"n. 成人, 成虫\na. 成年的, 成熟的",,4,1,gk cet4 ky ielts,1236,969,s:adults,,
advance,әd'vɑ:ns,"n. an amount paid before it is earned\nn. increase in price or value\nv. move forward, also in the metaphorical sense\nv. bring forward for consideration or acceptance","n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",,4,1,gk cet4 cet6 ky toefl,1880,2296,s:advances/d:advanced/p:advanced/i:advancing/3:advances,,
advanced,әd'vɑ:nst,s. farther along in physical or mental development\ns. comparatively late in a course of development\ns. ahead of the times\ns. at a higher level in training or knowledge or skill,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的",,3,1,cet4 ky toefl ielts,2557,2797,0:advance/1:dp/p:advanced/d:advanced,,
advantage,әd'vɑ:ntidʒ,n. the quality of having a superior or more favorable position\nn. (tennis) first point scored after deuce\nn. benefit resulting from some event or action\nv. give an advantage to,"n. 优点, 便利, 好处, 优势\nvt. 有助于",,4,1,zk gk cet4 ky,969,1301,s:advantages/d:advantaged/i:advantaging/p:advantaged/3:advantages,,
advertise,'ædvәtaiz,v. call attention to\nv. make publicity for; try to sell (a product),"vt. 做广告, 通知, 公布\nvi. 做广告",,3,1,gk cet4 cet6 ky ielts gre,4085,5124,d:advertised/p:advertised/i:advertising/3:advertises,,
advice,әd'vais,n. a proposal for an appropriate course of action,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",,4,1,zk gk cet4 cet6 ky toefl ielts,962,1641,,,
advise,әd'vaiz,v. inform (somebody) of something,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",,3,1,zk gk cet4 cet6 ky toefl,1728,2552,d:advised/p:advised/i:advising/3:advises,,
adviser,әd'vaizә,n. an expert who gives advice,"n. 顾问, 劝告者, 指导教师\n[法] 顾问, 劝告者",,3,,,2553,2720,s:advisers,,
advocate,'ædvәkeit,n. a person who pleads for a cause or propounds an idea\nn. a lawyer who pleads cases in court,"n. 提倡者, 拥护者\nvt. 主张, 提倡",,3,,gk cet4 cet6 ky toefl ielts gre,4031,2623,d:advocated/s:advocates/i:advocating/p:advocated/3:advocates,,
affair,ә'fєә,n. a usually secretive or illicit sexual relationship\nn. a vaguely specified social event,"n. 事件, 事务, 恋爱事件",,4,1,gk cet4 cet6 ky toefl,941,1364,s:affairs,,
affect,ә'fekt,n. the conscious subjective aspect of feeling or emotion\nv. have an effect upon\nv. act physically on; have an effect upon\nv. have an emotional or cognitive impact upon,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",,4,1,gk cet4 cet6 ky toefl ielts,754,963,d:affected/i:affecting/3:affects/p:affected/s:affects,,
afford,ә'fɒ:d,v. be able to spare or give up\nv. have the financial means to do something or buy something\nv. afford access to,"vt. 买得起, 足以, 给予",,3,1,zk gk cet4 cet6 ky toefl ielts,1722,1846,d:afforded/3:affords/p:afforded/i:affording,,
afraid,ә'freid,a. filled with fear or apprehension\ns. filled with regret or concern; used often to soften an unpleasant statement\ns. feeling worry or concern or insecurity\ns. having feelings of aversion or unwillingness,"a. 害怕的, 恐怕的, 遗憾的",,3,1,zk gk,1562,1400,,,
after,'ɑ:ftә,s. located farther aft\nr. behind or in the rear,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",,5,1,zk gk,96,120,,,
afternoon,'ɑ:ftә'nu:n,n. the part of the day between noon and evening,"n. 午后, 下午",,4,1,zk gk,1118,1191,s:afternoons,,
afterwards,'ɑ:ftәwәdz,r happening at a time subsequent to a reference time,"adv. 然后, 后来",,3,1,,1951,5652,,,
again,ә'gein,r. anew,"adv. 再一次, 又, 到原处",,5,1,zk gk,156,184,,,
against,ә'geinst,"prep. Abreast; opposite to; facing; towards; as, against the\n   mouth of a river; -- in this sense often preceded by over.\nprep. From an opposite direction so as to strike or come in\n   contact with; in contact with; upon; as, hail beats against the roof.\nprep. In opposition to, whether the opposition is of\n   sentiment or of action; on the other side; counter to; in contrariety\n   to; hence, adverse to; as, against reason; against law; to run a race\n   against time.\nprep. By of before the time that; in preparation for; so as\n   to be ready for the time when.","prep. 反对, 对着, 倚靠",,5,1,zk gk cet4 ky,155,180,,,
age,eidʒ,n. how long something has existed\nn. a time of life (usually defined in years) at which some particular qualification or power arises\nv. begin to seem older; get older\nv. make older,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",,5,1,zk gk toefl ielts,363,386,s:ages/d:aged/i:ageing/3:ages/p:aged,,
agency,'eidʒәnsi,n. an administrative unit of government\nn. a business that serves other businesses\nn. the state of being in action or exerting power,"n. 代理机构, 经销商, 中介\n[化] 办事处",,4,1,gk cet4 ky ielts,1036,694,s:agencies,,
agenda,ә'dʒendә,n. a temporally organized plan for matters to be attended to\nn. a list of matters to be taken up (as at a meeting),"pl. 议程, 日常工作事项\n[计] 待议事件",,3,,gk ky toefl ielts gre,3026,2130,s:agendas,,
agent,'eidʒәnt,n. an active and efficient cause; capable of producing a certain effect\nn. a representative who acts on behalf of other persons or organizations\nn. a substance that exerts some force or effect\nn. a businessman who buys or sells for another in exchange for a commission,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序",,4,1,gk cet4 ky toefl,1214,1020,s:agents,,
aggressive,ә'gresiv,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""\ns. tending to spread quickly\ns. characteristic of an enemy or one eager to fight","a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",,3,1,gk cet4 cet6 ky toefl ielts gre,3648,2514,,,
ago,ә'gәu,s. gone by; or in the past\nr. in the past,adv. 以前,,5,1,zk gk,504,316,,,
agree,ә'gri:,"v. be in accord; be in agreement\nv. consent or assent to a condition, or agree to do something\nv. show grammatical agreement\nv. be agreeable or suitable","vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意",,5,1,zk gk,401,514,d:agreed/p:agreed/3:agrees/i:agreeing,,
agreement,ә'gri:mәnt,n. the statement (oral or written) of an exchange of promises\nn. compatibility of observations\nn. harmony of people's opinions or actions or characters\nn. the thing arranged or agreed to,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",,4,1,zk gk ielts,623,1059,s:agreements,,
agricultural,.ægri'kʌltʃәrәl,a. relating to or used in or promoting agriculture or farming,"a. 农业的\n[法] 农业的, 耕作的",,3,,gk,2188,3104,,,
agriculture,'ægrikʌltʃә,n. the class of people engaged in growing food,"n. 农业\n[机] 农业, 农学",,3,,gk cet4 cet6 ky toefl ielts,2274,4165,,,
ahead,ә'hed,s. having the leading position or higher score in a contest\nr. at or in the front\nr. toward the future; forward in time\nr. in a forward direction,"a. 领先的, 预先的, 向前的\nadv. 领先, 预先, 向前, 胜于, 在前面, 在将来",,4,1,gk,1504,1025,,,
ahead of,,,在…之前,,3,,,0,0,,,
aid,eid,n. a resource\nn. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose\nn. money to support a worthy person or cause,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",,5,1,gk cet4 cet6 ky,1096,1640,s:aids/d:aided/i:aiding/p:aided/3:aids,,
AIDS,eidz,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles,"n. 爱滋病(获得性免疫缺陷综合征)\n[计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统\n美国决策学学会, 信息自动显示系统, 自动综合调试系统",,4,,gk ielts,3757,1793,0:aid/1:s3,,
aim,eim,"n. the goal intended to be attained (and which is believed to be attainable)\nn. the action of directing something at an object\nv. point or cause to go (blows, weapons, or objects such as photographic equipment) towards\nv. propose or intend","n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",,4,1,gk cet4 cet6 ky toefl ielts,1261,1931,s:aims/3:aims/p:aimed/d:aimed/i:aiming,,
air,єә,n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of\nn. the region above the ground\nn. a distinctive but intangible quality surrounding a person or thing\nn. once thought to be one of four elements composing the universe (Empedocles),"n. 空气, 旋律, 态度\nvt. 晾, 使通风, 夸耀",,5,1,zk gk toefl ielts,527,370,d:aired/s:airs/i:airing/p:aired/3:airs,,
air force,,,"空军, 美国航空队",,3,,,0,0,,,
aircraft,'єәkræft,n. a vehicle that can fly,"n. 航空器, 飞机\n[机] 航空器",,4,1,gk cet4 ky toefl,1538,2803,,,
airline,'єәlain,n. a hose that carries air under pressure\nn. a commercial enterprise that provides scheduled flights for passengers,"n. 航线, 航线的设备, 航空公司",,4,,zk gk cet4 ky,3554,2128,s:airlines,,
airport,'єәpɒ:t,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,"n. 飞机场\n[机] 航空站, 机场",,4,1,zk gk ielts,2541,1765,s:airports,,
alarm,ә'lɑ:m,n. fear resulting from the awareness of danger\nn. a device that signals the occurrence of some undesirable event\nn. an automatic signal (usually a sound) warning of danger\nv. warn or arouse to a sense of danger or call to a state of preparedness,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",,3,1,gk cet4 ky toefl ielts,3004,3693,s:alarms/d:alarmed/p:alarmed/i:alarming/3:alarms,,
album,'ælbәm,n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc\nn. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc,"n. 粘贴簿, 唱片套\n[医] 白色物",,4,,gk cet6 ky ielts,2991,2215,s:albums,,
alcohol,'ælkәhɒl,n. a liquor or brew containing alcohol as the active agent\nn. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation,"n. 酒精, 酒\n[化] 醇; 乙醇; 酒精",,3,1,gk cet4 ky,2654,2191,s:alcohols,,
alert,ә'lә:t,n. condition of heightened watchfulness or preparation for action\nn. a warning serves to make you more alert to danger\na. engaged in or accustomed to close observation\ns. quick and energetic,"a. 警觉的, 灵敏的, 留心的\nn. 警报\nvt. 使警觉, 通知, 使意识到",,3,,cet4 cet6 ky toefl gre,4966,5318,d:alerted/p:alerted/i:alerting/3:alerts/s:alerts,,
alive,ә'laiv,a. possessing life\ns. (often followed by `with') full of life and spirit\ns. (followed by `to' or `of') aware of\ns. capable of erupting,"a. 活着的, 活泼的, 敏感的, 热闹的",,3,1,zk gk cet4 cet6 ky,2080,1532,,,
all,ɒ:l,a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class\ns. completely given to or absorbed by,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部",,5,1,zk gk ielts,39,43,,,
all right,,,"好, 顺利, 良好的, 正确的",,4,1,,0,0,,,
allegation,.æli'geiʃәn,n. (law) a formal accusation against somebody (often in a court of law)\nn. statements affirming or denying certain matters of fact that you are prepared to prove,"n. 断言, 主张, 申辩\n[法] 声明, 事实陈述, 断言",,3,,cet6 toefl,3459,3516,s:allegations,,
allege,ә'ledʒ,v. report or maintain,"vt. 宣称, 主张, 提出, 断言\n[法] 断言, 指称, 指证",,4,,cet6 ky toefl ielts gre,3738,5319,d:alleged/p:alleged/i:alleging/3:alleges,,
alliance,ә'laiәns,n. the state of being allied or confederated\nn. a connection based on kinship or marriage or common interest\nn. an organization of people (or countries) involved in a pact or treaty\nn. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim,"n. 联盟, 联合\n[法] 同盟, 联盟, 联姻",,3,,cet6 ky toefl ielts,2354,3376,s:alliances,,
allied,ә'laid,s. related by common characteristics or ancestry\na. of or relating to or denoting the Allies in World War II\na. of or relating to or denoting the Allies in World War I\ns. united in a confederacy or league,"a. 联盟的, 联姻的, 联系起来的",,3,1,cet6 ky,4605,5905,0:ally/1:dp/d:allied,,
allow,ә'lau,v. let have\nv. give or assign a resource to a particular person or cause\nv. allow or plan for a certain possibility; concede the truth or validity of something\nv. grant as a discount or in exchange,"vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令",,5,1,zk gk cet4 ky,257,339,d:allowed/i:allowing/3:allows/p:allowed,,
ally,'ælai. ә'lai,"n. a friendly nation\nn. an associate who provides cooperation or assistance\nv. become an ally or associate, as by a treaty or marriage","n. 同盟者, 同盟国, 助手\nvt. 使联盟, 使联合, 使有关系\nvi. 结盟",,4,1,cet6 ky toefl ielts,3121,2408,s:allies/d:allied/p:allied/i:allying/3:allies,,
almost,'ɒ:lmәust,r (of actions or states) slightly short of or not quite accomplished; all but,"adv. 几乎, 差不多",,5,1,zk gk,280,291,,,
alone,ә'lәun,s. isolated from others\ns. lacking companions or companionship\ns. exclusive of anyone or anything else\ns. radically distinctive and without equal,"a. 孤独的, 单独的, 独自的\nadv. 独自地",,4,1,zk gk cet4 ky toefl ielts,1297,1097,,,
along,ә'lɒŋ,r. with a forward motion\nr. in accompaniment or as a companion\nr. to a more advanced state\nr. in addition (usually followed by `with'),"adv. 平行地, 向前\nprep. 沿着",,5,1,zk gk,823,447,,,
alongside,ә'lɒŋ'said,r side by side,"adv. 在旁边, 靠拢着\nprep. 在...旁边, 与...在一起",,3,1,gk cet6 ky ielts,2737,4203,,,
already,ɒ:l'redi,r. prior to a specified or implied time,"adv. 已经, 早已",,5,1,zk gk,255,334,,,
